Date,HomeTeam,AwayTeam,FTHG,FTAG
2024-04-07,Halmstad,Goteborg,1,0
2024-04-07,Malmo FF,Hammarby,2,0
2024-04-07,Vasteras SK,Elfsborg,0,1
2024-04-08,Kalmar,Sirius,1,2
2024-04-08,Varnamo,GAIS,1,2
2024-04-08,Djurgarden,Hacken,3,3
2024-04-13,Mjallby,AIK,1,1
2024-04-13,Vasteras SK,Halmstad,0,1
2024-04-14,Kalmar,Goteborg,0,1
2024-04-14,Norrkoping,GAIS,1,0
2024-04-14,Djurgarden,Sirius,2,0
2024-04-15,Hacken,Brommapojkarna,4,3
2024-04-15,Varnamo,Malmo FF,0,4
2024-04-15,Hammarby,Elfsborg,3,0
2024-04-20,Goteborg,Norrkoping,1,1
2024-04-20,Sirius,Varnamo,0,1
2024-04-20,Malmo FF,Vasteras SK,1,0
2024-04-21,AIK,Djurgarden,2,0
2024-04-21,GAIS,Mjallby,2,1
2024-04-21,Hacken,Hammarby,2,1
2024-04-21,Halmstad,Brommapojkarna,0,2
2024-04-22,Elfsborg,Kalmar,1,2
2024-04-24,AIK,Varnamo,2,0
2024-04-24,Brommapojkarna,Sirius,1,1
2024-04-24,Goteborg,Hacken,0,1
2024-04-25,Djurgarden,Malmo FF,0,1
2024-04-25,Halmstad,Hammarby,2,1
2024-04-25,Kalmar,GAIS,2,3
2024-04-25,Norrkoping,Elfsborg,4,2
2024-04-25,Vasteras SK,Mjallby,2,1
2024-04-28,Malmo FF,AIK,5,0
2024-04-28,Varnamo,Halmstad,1,3
2024-04-28,Djurgarden,GAIS,1,0
2024-04-28,Hacken,Norrkoping,1,2
2024-04-29,Brommapojkarna,Goteborg,0,3
2024-04-29,Elfsborg,Sirius,2,0
2024-04-29,Mjallby,Kalmar,3,2
2024-04-29,Hammarby,Vasteras SK,2,1
2024-05-04,Kalmar,Halmstad,5,2
2024-05-04,Mjallby,Brommapojkarna,1,1
2024-05-04,Sirius,Hacken,0,3
2024-05-05,Elfsborg,Malmo FF,3,1
2024-05-05,Vasteras SK,Djurgarden,0,2
2024-05-05,AIK,Norrkoping,6,2
2024-05-05,Hammarby,Varnamo,1,2
2024-05-06,GAIS,Goteborg,2,1
2024-05-11,AIK,Sirius,1,3
2024-05-11,Halmstad,Mjallby,1,3
2024-05-11,GAIS,Vasteras SK,2,0
2024-05-12,Hacken,Kalmar,3,1
2024-05-12,Norrkoping,Hammarby,1,2
2024-05-12,Djurgarden,Elfsborg,2,0
2024-05-12,Varnamo,Brommapojkarna,1,1
2024-05-13,Goteborg,Malmo FF,0,3
2024-05-15,Elfsborg,AIK,6,1
2024-05-15,Halmstad,Hacken,3,0
2024-05-15,Mjallby,Hammarby,3,0
2024-05-15,Vasteras SK,Varnamo,0,2
2024-05-16,Brommapojkarna,Djurgarden,0,5
2024-05-16,Kalmar,Norrkoping,1,1
2024-05-16,Malmo FF,GAIS,1,0
2024-05-16,Sirius,Goteborg,2,2
2024-05-19,Brommapojkarna,Norrkoping,2,1
2024-05-19,Hammarby,AIK,2,1
2024-05-19,GAIS,Elfsborg,2,1
2024-05-19,Varnamo,Kalmar,0,2
2024-05-20,Djurgarden,Halmstad,2,0
2024-05-20,Sirius,Vasteras SK,0,0
2024-05-20,Hacken,Malmo FF,2,2
2024-05-21,Goteborg,Mjallby,1,0
2024-05-24,Elfsborg,Halmstad,2,0
2024-05-24,Malmo FF,Kalmar,5,0
2024-05-25,GAIS,Hacken,3,0
2024-05-25,Mjallby,Djurgarden,1,3
2024-05-26,Hammarby,Sirius,3,0
2024-05-26,Vasteras SK,Brommapojkarna,1,1
2024-05-27,Norrkoping,Varnamo,0,4
2024-05-27,AIK,Goteborg,5,2
2024-05-28,Malmo FF,Elfsborg,2,1
2024-05-29,Mjallby,Hacken,2,1
2024-06-01,Brommapojkarna,Malmo FF,2,2
2024-06-01,Goteborg,Elfsborg,1,0
2024-06-01,Halmstad,GAIS,4,0
2024-06-01,Sirius,Norrkoping,5,1
2024-06-02,Djurgarden,Hammarby,0,3
2024-06-02,Kalmar,Vasteras SK,0,4
2024-06-02,Hacken,AIK,4,1
2024-06-02,Varnamo,Mjallby,1,2
2024-07-06,Elfsborg,Brommapojkarna,3,0
2024-07-06,Mjallby,Sirius,3,2
2024-07-07,AIK,Kalmar,1,2
2024-07-07,Varnamo,Goteborg,2,0
2024-07-07,GAIS,Hammarby,0,0
2024-07-07,Malmo FF,Halmstad,5,1
2024-07-08,Norrkoping,Djurgarden,1,3
2024-07-08,Vasteras SK,Hacken,1,2
2024-07-13,Mjallby,Malmo FF,2,1
2024-07-13,Sirius,GAIS,3,1
2024-07-14,Djurgarden,Varnamo,1,0
2024-07-14,Hacken,Elfsborg,3,5
2024-07-14,Kalmar,Brommapojkarna,0,1
2024-07-14,Vasteras SK,Norrkoping,2,1
2024-07-15,Halmstad,AIK,1,2
2024-07-15,Hammarby,Goteborg,0,1
2024-07-19,Sirius,Malmo FF,3,4
2024-07-20,Kalmar,Djurgarden,2,1
2024-07-20,Varnamo,Hacken,2,2
2024-07-20,Brommapojkarna,Hammarby,0,2
2024-07-21,Norrkoping,Halmstad,1,0
2024-07-21,Elfsborg,Mjallby,3,1
2024-07-21,Goteborg,Vasteras SK,1,1
2024-07-22,GAIS,AIK,2,0
2024-07-27,Norrkoping,Kalmar,2,0
2024-07-27,Goteborg,Brommapojkarna,3,4
2024-07-27,Malmo FF,Sirius,0,1
2024-07-27,Halmstad,Varnamo,1,0
2024-07-28,Elfsborg,Djurgarden,1,2
2024-07-28,Hacken,Vasteras SK,4,0
2024-07-28,Hammarby,Mjallby,3,0
2024-07-29,AIK,GAIS,0,1
2024-08-03,GAIS,Norrkoping,0,1
2024-08-03,Vasteras SK,AIK,1,2
2024-08-03,Brommapojkarna,Halmstad,4,1
2024-08-04,Djurgarden,Goteborg,1,1
2024-08-04,Varnamo,Sirius,2,4
2024-08-04,Kalmar,Hammarby,1,4
2024-08-10,Halmstad,Malmo FF,0,1
2024-08-10,Norrkoping,Vasteras SK,2,1
2024-08-10,Goteborg,Varnamo,0,0
2024-08-11,AIK,Mjallby,1,0
2024-08-11,Elfsborg,GAIS,2,1
2024-08-11,Sirius,Kalmar,3,1
2024-08-12,Hammarby,Brommapojkarna,3,3
2024-08-17,Goteborg,Sirius,1,1
2024-08-17,Malmo FF,Norrkoping,2,1
2024-08-17,Varnamo,Hammarby,0,3
2024-08-17,Vasteras SK,Kalmar,2,1
2024-08-18,Brommapojkarna,Hacken,1,3
2024-08-18,Djurgarden,AIK,0,2
2024-08-18,Mjallby,Elfsborg,1,1
2024-08-18,GAIS,Halmstad,3,1
2024-08-24,Kalmar,Malmo FF,2,2
2024-08-25,Elfsborg,Goteborg,3,1
2024-08-25,Sirius,Djurgarden,0,1
2024-08-25,AIK,Brommapojkarna,2,1
2024-08-25,Hacken,Varnamo,1,1
2024-08-26,Halmstad,Vasteras SK,0,1
2024-08-26,Hammarby,GAIS,0,0
2024-08-26,Norrkoping,Mjallby,1,2
2024-08-31,GAIS,Kalmar,1,1
2024-08-31,Varnamo,AIK,0,1
2024-08-31,Mjallby,Halmstad,3,1
2024-08-31,Vasteras SK,Sirius,1,2
2024-09-01,Brommapojkarna,Elfsborg,3,3
2024-09-01,Malmo FF,Djurgarden,4,0
2024-09-01,Goteborg,Hammarby,0,1
